id,name,name
208,ОСМП,Терминалы
159,Киевстар (Украина),Украина
160,UMC (Украина),Украина
216,Билайн (Украина),Украина
104,Оренбург GSM,Россия
105,МТС,Россия
106,UTEL,Россия
107,TELE2,Россия
109,Мегафон - Северный Кавказ,Россия
110,Мегафон - Поволжье,Россия
111,Теле2 В.Новгород,Россия
112,Мегафон - Москва,Россия
113,Мегафон - Дальний Восток,Россия
115,МОТИВ,Россия
116,Мегафон - Северо-Запад,Россия
118,НСС - Нижний Новгород,Россия
119,Мегафон - Урал,Россия
120,Билайн,Россия
121,Мегафон - Сибирь,Россия
122,БайкалВестКом,Россия
125,СМАРТС - Волгоград GSM,Россия
126,НТК,Россия
127,Мегафон - Центр,Россия
128,МТС - РеКом,Россия
129,Цифровая экспансия,Россия
133,Мегафон - Центр - Южный филиал,Россия
137,Мегафон - Центр - Северный филиал,Россия
138,МТС - Москва,Россия
140,СМАРТС - Астрахань,Россия
141,СМАРТС - Самара,Россия
143,СТеК Джи Эс Эм,Россия
145,СМАРТС - Иваново,Россия
148,СМАРТС - Шупашкар,Россия
150,К-Мобайл,Россия
156,Дельта Телеком (skylink),Россия
158,АКОС,Россия
161,Ульяновск GSM,Россия
162,СМАРТС - Пенза,Россия
175,МТС - МР Дальневосточный,Россия
176,МТС - МР Центральный,Россия
177,МТС - МР Уральский,Россия
178,МТС - МР Северо-Западный,Россия
179,МТС - МР Сибирский,Россия
180,МТС - МР Приволжский,Россия
181,МТС - МР Северо-кавказский,Россия
184,Енисей Телеком,Россия
186,Саратов-Мобайл,Россия
203,СМАРТС - Ярославль,Россия
264,Татинком,Россия
273,Roboexchange,Россия
281,НСС,Россия
197,K-Cell (Казахстан),Казахстан
207,КарТел,Казахстан
199,МТС,Беларусь
200,БелСел,Беларусь
151,Индиго(Таджикистан),Таджикистан
152,MLT(Таджикистан),Таджикистан
214,Вавилон-М,Таджикистан
270,Билайн,Таджикистан
163,Bite (Литва),Литва
164,Omnitel (Литва),Литва
166,Tele-2 (Литва),Литва
169,Emt (Эстония),Эстония
170,Elisa (Эстония),Эстония
172,Tele-2 (Эстония),Эстония
167,Lmt (Латвия),Латвия(Lmt)
168,Tele-2 (Латвия),Латвия(TELE2)
215,Life,Украина(Life)
242,T-Mobile,Германия
243,Vodafone,Германия
244,E-Plus,Германия
245,O2,Германия
246,debitel,Германия
247,Mobilcom,Германия
259,Phonehouse,Германия
231,Vodafone,Великобритания
232,O2,Великобритания
233,Orange,Великобритания
234,T-Mobile/Virgin,Великобритания
235,Three,Великобритания
227,Telenor,Норвегия
228,NetCom,Норвегия
229,Ventelo,Норвегия
230,Tele2,Норвегия
217,Sonera,Финляндия
218,DNA,Финляндия
219,Elisa,Финляндия
220,Saunalahti,Финляндия
222,Telia,Швеция
223,Telenor,Швеция
224,Tre,Швеция
225,Tele2,Швеция
258,Израиль,Израиль
236,KPN,Голландия (Нидерланды)
237,T-Mobile,Голландия (Нидерланды)
238,Vodafone,Голландия (Нидерланды)
239,Orange,Голландия (Нидерланды)
240,Telfort,Голландия (Нидерланды)
241,Tele2,Голландия (Нидерланды)
251,Movistar,Испания
252,Vodafone,Испания
253,Orange,Испания
254,Yoigo,Испания
255,Euskaltel,Испания
256,R,Испания
257,Telecable,Испания
265,Orange,Польша
266,Plus,Польша
267,Era,Польша
268,Play,Польша
248,TMN,Португалия
249,Vodafone,Португалия
250,Optimus,Португалия
260,O2,Чехия
261,T-Mobile,Чехия
262,Vodafone,Чехия
153,Бител,Киргизия
154,МегаКом,Киргизия
274,Mobilkom,Австрия
275,T-Mobile,Австрия
276,One,Австрия
277,Telering,Австрия
278,Hutchinson,Австрия
279,Tele2,Австрия
301,Bouygues,Франция
302,Orange,Франция
303,Sfr,Франция
288,Base,Бельгия
289,Mobistar,Бельгия
290,Proximus,Бельгия
287,Pannon,Венгрия
291,T-Mobile,Венгрия
292,Vodafone,Венгрия
298,Azercell,Азербайджан
299,Armentel,Армения
300,Vivacell,Армения
