Россия;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
1121;TELE2;1,51;rur;3;rur
1121;UTEL;0,4;rur;3;rur
1121;АКОС;1,63;rur;3;rur
1121;БайкалВестКом;1,63;rur;3;rur
1121;Билайн;0,71;rur;2,97;rur
1121;Дельта Телеком (skylink);1,63;rur;3;rur
1121;Енисей Телеком;1,26;rur;3;rur
1121;Мегафон - Дальний Восток;0,48;rur;3;rur
1121;Мегафон - Москва;0,48;rur;3;rur
1121;Мегафон - Поволжье;0,48;rur;3;rur
1121;Мегафон - Северный Кавказ;0,48;rur;3;rur
1121;Мегафон - Северо-Запад;0,48;rur;3;rur
1121;Мегафон - Сибирь;0,48;rur;3;rur
1121;Мегафон - Урал;0,48;rur;3;rur
1121;Мегафон - Центр;0,48;rur;3;rur
1121;Мегафон - Центр - Северный филиал;0,48;rur;3;rur
1121;Мегафон - Центр - Южный филиал;0,48;rur;3;rur
1121;МОТИВ;1,66;rur;3,05;rur
1121;МТС;0,5;rur;2,87;rur
1121;МТС - Москва;0,47;rur;2,87;rur
1121;МТС - МР Дальневосточный;0,47;rur;2,87;rur
1121;МТС - МР Приволжский;0,47;rur;2,87;rur
1121;МТС - МР Северо-Западный;0,47;rur;2,87;rur
1121;МТС - МР Северо-кавказский;0,47;rur;2,87;rur
1121;МТС - МР Сибирский;0,47;rur;2,87;rur
1121;МТС - МР Уральский;0,47;rur;2,87;rur
1121;МТС - МР Центральный;0,47;rur;2,87;rur
1121;МТС - РеКом;0,47;rur;2,87;rur
1121;НСС;1,09;rur;2,85;rur7
1121;НСС - Нижний Новгород;1,09;rur;2,85;rur
1121;НТК;1,21;rur;2,9;rur
1121;Оренбург GSM;1,38;rur;2,54;rur
1121;Саратов-Мобайл;1,24;rur;2,42;rur
1121;СМАРТС - Астрахань;0,88;rur;3;rur
1121;СМАРТС - Волгоград GSM;1,63;rur;3;rur
1121;СМАРТС - Иваново;1,24;rur;2,97;rur
1121;СМАРТС - Пенза;0,46;rur;2,97;rur
1121;СМАРТС - Самара;0,59;rur;2,97;rur
1121;СМАРТС - Шупашкар;1,37;rur;2,97;rur
1121;СМАРТС - Ярославль;0,59;rur;2,97;rur
1121;СТеК Джи Эс Эм;1,63;rur;3;rur
1121;Татинком;1,09;rur;2,86;rur
1121;Ульяновск GSM;1,49;rur;2,97;rur
1121;Цифровая экспансия;1,49;rur;2,97;rur
1131;TELE2;4,57;rur;9;rur
1131;UTEL;2,95;rur;9;rur
1131;АКОС;4,95;rur;9;rur
1131;БайкалВестКом;6,46;rur;11,86;rur
1131;Билайн;6,45;rur;12,71;rur
1131;Дельта Телеком (skylink);4,95;rur;9;rur
1131;Енисей Телеком;3,81;rur;9;rur
1131;Мегафон - Дальний Восток;5,59;rur;10;rur
1131;Мегафон - Москва;5,59;rur;10;rur
1131;Мегафон - Поволжье;5,59;rur;10;rur
1131;Мегафон - Северный Кавказ;5,59;rur;10;rur
1131;Мегафон - Северо-Запад;5,59;rur;10;rur
1131;Мегафон - Сибирь;5,59;rur;10;rur
1131;Мегафон - Урал;5,59;rur;10;rur
1131;Мегафон - Центр;5,59;rur;10;rur
1131;Мегафон - Центр - Северный филиал;5,59;rur;10;rur
1131;Мегафон - Центр - Южный филиал;5,59;rur;10;rur
1131;МОТИВ;6,43;rur;11,8;rur
1131;МТС;3,26;rur;8,61;rur
1131;МТС - Москва;3,26;rur;8,61;rur
1131;МТС - МР Дальневосточный;3,26;rur;8,61;rur
1131;МТС - МР Приволжский;3,26;rur;8,61;rur
1131;МТС - МР Северо-Западный;3,26;rur;8,61;rur
1131;МТС - МР Северо-кавказский;3,26;rur;8,61;rur
1131;МТС - МР Сибирский;3,26;rur;8,61;rur
1131;МТС - МР Уральский;3,26;rur;8,61;rur
1131;МТС - МР Центральный;3,26;rur;8,61;rur
1131;МТС - РеКом;3,26;rur;10;rur
1131;НСС;3,43;rur;8,43;rur
1131;НСС - Нижний Новгород;3,46;rur;8,43;rur
1131;НТК;3,68;rur;8,7;rur
1131;Оренбург GSM;4,66;rur;11;rur
1131;Саратов-Мобайл;3,61;rur;7,15;rur
